news_source,news_link,bias_rating,community_feedback
Divided We Fall (author),https://dividedwefall.org/,Mixed,65/66
Divya Bharadwaj,https://www.linkedin.com/in/divyabharadwaj,Left,6/7
Dominic Pino,,Lean Right,22/23
Don Lemon,https://twitter.com/donlemon,Left,27/22
Douglas Murray,,Lean Right,30/28
Dr. Abdul El-Sayed,,Left,98/63
Dr. Ben Carson,,Lean Right,104/115
Drew Litton (cartoonist),,Center,97/145
Drew Sheneman (cartoonist),,Left,154/114
Drudge Report,https://drudgereport.com,Center,2514/2508
Duke Chronicle,http://www.dukechronicle.com/,Center,495/505
Dylan Rose,,Center,57/52
E J Dionne,,Left,619/507
E.J. Antoni,https://www.foxbusiness.com/person/a/e-j-antoni,Lean Right,16/20
East Bay Times,http://www.eastbaytimes.com/,Lean Left,166/125
East Idaho News,https://www.eastidahonews.com/,Center,14/11
East Oregonian,eastoregonian.com,Center,10/12
East Texas Radio,https://easttexasradio.com/,Center,5/13
East Village Magazine,https://www.eastvillagemagazine.org/,Center,4/4
Ebony,https://www.ebony.com/,Left,29/17
Economic Policy Institute,http://www.epi.org/,Left,489/383
Ed Kilgore,,Lean Left,40/40
Ed Rogers,,Right,219/140
Ed Yong,,Center,29/29
Eddie Scarry,,Right,52/48
Eden Prairie Local News,https://www.eplocalnews.org/,Center,14/15
Education Week,http://edweek.org,Center,241/354
EdVotes.org,http://educationvotes.nea.org,Left,188/100
Edward Morrissey,,Right,206/204
El Paso Matters,https://elpasomatters.org/,Center,5/7
El Paso Times,https://www.elpasotimes.com/,Center,30/37
Eli Pariser,https://www.elipariser.org/,Left,111/83
Eli Steinberg,,Center,44/53
Elie Mystal,,Left,80/50
Elizabeth Bruenig,,Left,23/26
Elle Magazine,,Lean Left,99/90
Elvia Díaz,,Left,28/18
Emily Oster,https://twitter.com/ProfEmilyOster,Center,16/26
Emporia Gazette,http://www.emporiagazette.com/,Center,10/10
Environmental Defense Fund,http://www.edf.org,Lean Left,494/466
Eric Allie (cartoonist),,Right,191/158
Eric Boehm,https://reason.com/people/eric-boehm/,Lean Right,64/65
Eric Holder,,Lean Left,142/527
Erie Gay News,https://www.eriegaynews.com/,Lean Left,14/16
Erie News Now WICU/WSEE,https://www.erienewsnow.com/,Center,12/10
Erik Wemple,,Center,396/535
Erraticus,https://erraticus.co/,Center,81/57
ESPN.com,https://www.espn.com/,Lean Left,366/416
Esquire,https://www.esquire.com/,Left,1469/663
Estes Park Trail Gazette,http://www.eptrail.com/,Center,347/416
Ethan Horowitz,https://www.allsides.com/news-source/ethan-horowitz-media-bias,Lean Right,31/39
Eugene B. Kogan,,Center,9/12
Eugene Robinson,,Left,388/269
Eurek Alert,http://www.eurekalert.org/,Center,450/497
Evansville Courier & Press,https://www.courierpress.com/,Center,17/17
Everett Herald,https://www.heraldnet.com/,Center,7/7
Evie Magazine,https://www.eviemagazine.com/,Lean Right,341/172
Ezra Klein,,Left,695/468
Face the Facts USA,,Center,334/473
FAIR,http://fair.org/,Lean Left,724/762
Fairmont Sentinel,https://www.fairmontsentinel.com/,Center,10/13
Falls Church News - Press,http://www.fcnp.com,Left,508/534
Family Research Council,,Lean Right,564/860
Fareed Zakaria,https://twitter.com/fareedzakaria,Center,635/1113
Farhad Manjoo,https://www.nytimes.com/by/farhad-manjoo,Lean Left,57/57
Fayetteville Flyer,https://www.fayettevilleflyer.com/,Center,7/4
Federation of American Scientists,https://fas.org/,Lean Left,448/554
FEE.org,https://fee.org/,Lean Right,832/278
FFX Now,https://www.ffxnow.com/,Center,5/5
Financial Times,,Center,1331/853
Fiona Harrigan,https://reason.com/people/fiona-harrigan/,Center,21/24
First Coast News,https://www.firstcoastnews.com/,Center,8/8
First Draft News,https://firstdraftnews.org/,Center,56/72
Fiscal Times,http://www.thefiscaltimes.com/,Lean Right,804/713
Florida Daily,https://www.floridadaily.com/,Center,5/4
Florida Insider,https://floridainsider.com/,Center,7/7
Florida Politics,https://floridapolitics.com/,Center,39/107
Florida Times-Union,https://www.jacksonville.com/,Center,8/8
Florida Today,https://www.floridatoday.com/,Center,11/14
Florida's Voice,https://flvoicenews.com/,Right,23/19
Floyd County Chronicle & Times,https://www.floydct.com/,Center,14/11
Food Democracy Now,http://www.fooddemocracynow.org/blog/,Lean Left,207/233
Forbes,http://www.forbes.com/,Center,16294/11143
Foreign Affairs,https://www.foreignaffairs.com,Center,1257/755
Foreign Policy,,Center,538/590
Fort Bend Star,https://www.fortbendstar.com/,Center,7/6
Fort Worth Business Press,https://fortworthbusiness.com/,Center,9/11
Fort Worth Star-Telegram,https://www.star-telegram.com/,Center,81/112
Fortune,https://www.fortune.com,Center,322/570
Forward,https://www.forwardparty.com/,Center,16/30
Foundation Against Intolerance and Racism,https://www.fairforall.org/,Center,21/57
FOX 10 Phoenix,https://www.fox10phoenix.com/,Center,7/10
FOX 13 Salt Lake City,https://www.fox13now.com/,Center,7/11
Fox 13 Seattle,https://www.fox13seattle.com/,Center,18/22
Fox 17 West Michigan,https://www.fox17online.com/,Center,11/13
FOX 23 Maine,https://fox23maine.com/,Center,8/8
FOX 25 KOKH,https://okcfox.com/,Center,4/7
Fox 28 WTTE,https://myfox28columbus.com/,Center,6/11
Fox 29 KABB,https://foxsanantonio.com/,Center,10/12
Fox 29 Philadelphia,https://www.fox29.com/,Center,13/11
Fox 4 Kansas City,https://fox4kc.com/,Center,16/17
Fox 42 KPTM,https://fox42kptm.com/,Center,8/7
Fox 5 Atlanta,https://www.fox5atlanta.com/,Center,20/16
FOX 5 KVVU,https://www.fox5vegas.com/,Center,6/10
Fox 56 WDKY,https://fox56news.com/,Center,7/12
Fox 59,https://fox59.com/,Center,14/15
Fox 6 WBRC,https://www.wbrc.com/,Center,7/10
Fox Business,https://www.foxbusiness.com/,Lean Right,583/409
FOX Carolina WHNS,https://www.foxcarolina.com/,Center,7/7
Fox Nebraska KFXL,https://foxnebraska.com/,Center,11/11
Fox News (Online News),http://www.foxnews.com/,Right,56420/54845
Fox News (Opinion),http://www.foxnews.com/opinion.html,Right,35261/8082
Fox News Latino,http://latino.foxnews.com/index.html,Right,2994/1337
Fox16,https://www.fox16.com/,Center,15/19
Fox21,https://www.fox21online.com/,Center,39/39
Fox9,https://www.fox9.com/,Center,51/72
Frank Bruni,https://twitter.com/frankbruni,Lean Left,226/267
Frank Miniter,,Right,436/416
Franklin D. Kramer,,Center,33/30
Franklin Favorite,https://www.franklinfavorite.com/,Center,13/13
Freakonomics,http://freakonomics.com,Center,518/329
Frederick News-Post,https://www.fredericknewspost.com/,Center,12/11
Free Press,https://www.freepress.net/,Left,25/45
Frida Ghitis,https://fridainsight.substack.com/,Lean Left,39/52
Froma Harrop,,Lean Left,143/143
FrontPage Magazine,http://frontpagemag.com/,Right,694/515
G. Michael Killenberg,https://www.usf.edu/arts-sciences/departments/journalism/about/faculty-and-staff/michael-killenberg.aspx,Center,10/15
Gabrielle Giffords,,Lean Left,99/119
Gail Collins,https://www.nytimes.com/column/gail-collins,Left,96/159
Gainesville Daily Register,https://www.gainesvilleregister.com/,Center,3/7
Gainesville Sun,https://www.gainesville.com/,Center,14/19
Gallatin News,https://www.gallatinnews.com/,Center,11/12
Gallup,https://www.gallup.com/home.aspx,Center,907/797
Galveston County The Daily News,https://www.galvnews.com/,Center,8/10
Gary Markstein (cartoonist),,Center,86/118
Gary Varvel (cartoonist),,Right,123/63
Gay City News,https://gaycitynews.com/,Lean Left,17/24
Gay Times,https://www.gaytimes.co.uk/,Lean Left,20/26
GayBuzzer,https://www.gaybuzzer.com/,Center,13/23
GayNewsToday,https://www.gaynewstoday.com,Left,25/13
GayStarNews,https://www.gaystarnews.com/,Left,17/11
Gell,https://www.gell.com,Mixed,157/124
George W. Bush,,Lean Right,246/157
George Will,https://www.washingtonpost.com/people/george-f-will,Right,711/1166
Georgia Asian Times,https://gasiantimes.com/,Center,23/27
Georgia Law News,https://georgialawnews.com/,Center,10/16
Georgia Recorder,https://georgiarecorder.com/,Center,22/28
Georgia Voice,https://thegavoice.com/,Left,27/13
Gillette News Record,https://www.gillettenewsrecord.com/,Center,13/12
Gina Baleria,,Lean Left,56/67
Gizmodo,http://gizmodo.com,Lean Left,459/320
GLAAD,https://www.glaad.org/,Left,46/13
GLAAD,,Lean Left,117/341
Glenn Beck,https://twitter.com/glennbeck,Right,1147/380
Glenn Greenwald,https://twitter.com/ggreenwald,Center,291/353
Glenn Harlan Reynolds,,Lean Right,65/59
Glenn Loury,https://glennloury.substack.com/,Center,31/12
Glenn McCoy (cartoonist),,Right,88/75
Global Disinformation Index,https://disinformationindex.org/,Left,69/48
Global News,https://globalnews.ca/,Lean Left,111/88
Gloria Steinem,,Left,92/46
GoLocal Providence,https://www.golocalprov.com/,Center,57/44
Good Faith Media,https://goodfaithmedia.org/,Lean Left,12/11
Good News Magazine,https://goodnewsmag.org/,Lean Right,11/26
Google News,https://news.google.com/,Lean Left,1271/941
GOP.gov,https://www.gop.gov/,Right,676/340
Gothamist,https://gothamist.com/,Center,33/41
Govt. Accountability Office,https://www.gao.gov/,Center,50/46
GQ.com,https://www.gq.com/,Lean Left,288/324
Grand Forks Herald,https://www.grandforksherald.com/,Center,5/7
Green Bay Press-Gazette,https://www.greenbaypressgazette.com/,Center,9/14
Greenfield Daily Reporter,https://www.greenfieldreporter.com/,Center,11/12
Greenwich Time,https://www.greenwichtime.com/,Center,13/14
Greg Gutfeld,https://www.foxnews.com/person/g/greg-gutfeld,Lean Right,12/17
Greg Sargent,https://www.washingtonpost.com/people/greg-sargent/,Left,25/31
Grid,https://www.grid.news/,Lean Left,18/20
Grist,https://grist.org/,Lean Left,608/622
Grover Norquist,,Right,507/236
Guest Writer - Center,,Center,145/196
Guest Writer - Left,,Lean Left,302/387
Guest Writer - Right,,Lean Right,345/469
Guy Benson,https://townhall.com/tipsheet/guybenson/,Right,10/21
H.R. McMaster,,Center,86/60
Haaretz,https://www.haaretz.com/,Lean Left,82/191
Hampton Roads Messenger,http://www.hamptonroadsmessenger.com/,Center,456/459
Harlan Enterprise,https://www.harlanenterprise.net/,Center,6/7
Harrison Daily Times,https://harrisondaily.com/,Center,12/11
Harry Ding,https://www.linkedin.com/in/harry-s-ding,Center,1/1
Hartford Business Journal,https://www.hartfordbusiness.com/,Lean Left,7/8
Hartford Courant,https://www.courant.com/,Center,18/17
Harvard Business School,http://hbswk.hbs.edu/,Lean Left,886/1109
Hasan Piker,https://www.twitch.tv/hasanabi,Left,230/33
Hastings Tribune,https://www.hastingstribune.com/,Center,13/15
Hattiesburg American,https://www.hattiesburgamerican.com/,Center,13/12
Hawaii News Now,https://www.hawaiinewsnow.com/,Center,18/19
Hawaii News Now,https://www.hawaiinewsnow.com/,Center,13/15
Hawaii News Online,https://hawaiinews.online/,Center,5/5
Hawaii Public Radio,https://www.hawaiipublicradio.org/,Center,10/24
Hawaii Tribune-Herald,https://www.hawaiitribune-herald.com/,Center,9/15
Hayes Brown,,Left,41/33
Hays Free Press,https://www.haysfreepress.com/,Center,5/7
Healthcare.gov,http://www.healthcare.gov/,Lean Left,344/698
Heart of the Rockies Radio,https://heartoftherockiesradio.com/,Center,9/9
Heather Mac Donald,https://www.manhattan-institute.org/expert/heather-mac-donald,Right,205/244
Heather Thompson Day,,Center,35/44
Heavy.com,https://heavy.com/,Center,230/298
Helaine Olen,,Lean Left,19/18
Helen Andrews,,Lean Right,53/42
Hendricks County Business Leader,https://myhcicon.com/,Center,4/6
Henry A. Brechter,https://www.linkedin.com/in/henrybrechter,Center,155/187
Henry Payne (cartoonist),,Right,128/143
Henry Windsor,,Lean Left,42/38
Herald & Review,https://herald-review.com/,Center,8/9
Herald Democrat,http://heralddemocrat.com/,Left,577/473
Herald-Dispatch,http://www.herald-dispatch.com/,Lean Left,44/39
Herald-Tribune,,Lean Left,29/22
Heterodox Academy,https://heterodoxacademy.org/,Center,17/11
High Point Enterprise,https://www.hpenews.com/,Center,35/34
High Times,,Lean Left,90/85
Hill Country Community Journal,https://www.hccommunityjournal.com/,Center,4/6
Hindustan Times,https://www.hindustantimes.com/,Center,92/242
Hingham Anchor,https://www.hinghamanchor.com/,Center,8/9
Hip Latina,,Left,66/53
Hirsh Joshi,,Left,105/91
HNG News,https://www.hngnews.com/,Center,4/5
Hobbs News-Sun,hobbsnews.com,Center,11/10
Home News Here,http://homenewshere.com/,Center,6/8
Homeland Security Today,https://www.hstoday.us/,Lean Left,32/42
Homer News,https://www.homernews.com/,Center,8/12
Honolulu Civil Beat,https://www.civilbeat.org/,Center,434/594
Honolulu Star-Advertiser,https://www.staradvertiser.com/,Center,22/23
Hot Springs Sentinel-Record,https://www.hotsr.com/,Center,14/15
HotAir,http://hotair.com/,Lean Right,1197/1072
Houston Chronicle,https://www.houstonchronicle.com/,Center,256/549
Houston Public Media,https://www.houstonpublicmedia.org/,Center,10/21
Howard Kurtz,http://www.foxnews.com/person/k/howard-kurtz.html,Center,577/513
Hudson Crozier,https://www.upward.news/author/hudson/,Lean Right,25/23
HuffPost,https://www.huffpost.com/,Left,38945/23021
Human Events,,Lean Right,44/39
Human Rights Campaign,https://www.hrc.org/,Left,172/63
Human Rights Watch,,Center,150/246
Hyria Stuart,,Lean Left,57/72
Ian Rosenzweig,https://www.linkedin.com/in/ian-rosenzweig-427b50248/,Center,12/15
Idaho Press,https://www.idahopress.com/,Center,15/19
Idaho State Journal,https://www.idahostatejournal.com/,Center,13/13
Idaho Statesman,http://www.idahostatesman.com/,Center,190/254
Ideastream Public Media,https://www.ideastream.org//,Lean Left,6/14
Illinois Newsroom,https://illinoisnewsroom.org/,Lean Left,5/9
In Depth NH,https://indepthnh.org/,Center,6/12
In This Together,https://inthistogetheramerica.org/,Center,9/8
Inacow,http://www.inacow.com/,Right,452/353
IncentFit,https://incentfit.com/,Center,22/32
Independent Institute,http://www.independent.org,Lean Right,385/398
Independent Journal Review,https://ijr.com/,Right,1440/1350
Independent Record,https://helenair.com/,Center,17/17
Indiana 105,https://indiana105.com/,Center,6/7
Indiana Daily Student,http://www.idsnews.com/,Center,346/466
Indiana Public Media,https://indianapublicmedia.org/,Center,10/23
Indianapolis Business Journal,https://www.ibj.com/,Center,11/15
Indianapolis News Source,https://indynewssource.com/,Center,10/11
Indianapolis Recorder,https://indianapolisrecorder.com/,Center,7/9
Indy Online,https://www.theindyonline.com/,Center,366/389
Indy Week,http://www.indyweek.com/,Lean Left,384/424
IndyStar,http://indystar.com,Center,92/105
Inforum,https://inforum.com/,Center,9/13
InfoWars,http://www.infowars.com/,Right,5723/1262
Inland Valley Daily Bulletin,https://www.dailybulletin.com/,Center,58/66
InMenlo,https://inmenlo.com/,Center,6/8
Inside Higher Ed,https://www.insidehighered.com/,Lean Left,53/48
Inside Philanthropy,,Center,375/418
Insider,https://www.insider.com/,Lean Left,5692/7859
Institute for Cultural Evolution,https://www.culturalevolution.org/,Center,14/18
Intellectual Conservative,http://intellectualconservative.com,Lean Right,434/481
International Business Times,http://www.ibtimes.com/,Center,1202/1004
Investopedia,https://www.investopedia.com/,Center,65/39
Investor's Business Daily,http://www.investors.com,Lean Right,1367/1124
Iowa Capital Dispatch,,Center,29/40
Iowa Public Radio,https://www.iowapublicradio.org/,Center,6/26
Iowa State Daily,https://iowastatedaily.com/,Center,7/9
Ipsos,https://www.ipsos.com/en-us,Center,30/63
Iredell Free News,https://www.iredellfreenews.com/,Center,5/7
Irving Weekly,https://www.irvingweekly.com/,Center,6/8
Isaac Schorr,https://www.mediaite.com/author/isaac-schorr/,Lean Right,30/28
Isaiah Anthony,https://isaiahanthony.com/,Center,37/42
Issue One,https://issueone.org/,Center,15/16
IVN,http://www.ivn.us,Center,533/546
Jack Ohman (cartoonist),,Left,107/71
Jack Shafer,,Center,25/28
Jack Welch,,Lean Right,170/166
Jackson Hole News&Guide,https://www.jhnewsandguide.com/,Center,9/10
Jackson Lanzer,,Center,75/90
Jacob Hess,,Right,69/75
Jacobin,https://jacobinmag.com/,Left,1307/336
Jamelle Bouie,,Left,38/31
James Bovard,https://en.wikipedia.org/wiki/James_Bovard,Lean Right,83/66
James Coan,,Center,68/87
James Downie,,Left,29/34
James Hohmann,,Lean Right,129/121
James Mattis,,Center,137/115
James Pethokoukis,,Lean Right,139/137
James Poulos,,Right,101/87
Jamestown Press,https://www.jamestownpress.com/,Center,8/11
Jared McKiernan,https://our.news/,Center,52/58
Jason L Riley,https://www.wsj.com/news/author/jason-l-riley,Lean Right,14/10
Jed Shugerman,https://www.fordham.edu/info/23180/jed_shugerman,Lean Left,16/20
Jeff Danziger (cartoonist),,Left,99/91
Jeff Flake,https://en.wikipedia.org/wiki/Jeff_Flake,Lean Right,144/289
Jeff Jacoby,,Right,161/128
Jeff Spross,,Left,79/68
Jeff Stahler (cartoonist),,Left,115/90
Jefferson City News Tribune,https://www.newstribune.com/,Center,20/16
Jefferson Public Radio,https://www.ijpr.org/,Center,55/76
Jeffrey Blehar,https://www.nationalreview.com/author/jeffrey-blehar/,Lean Right,25/25
Jen Sorensen (cartoonist),,Left,101/78
Jennifer Auer,,Center,48/51
Jennifer Rubin,,Lean Left,295/498
Jeremy E Sherman,,Lean Left,67/78
Jeremy Garson,,Lean Left,34/39
Jeremy Stahl,,Left,31/27
Jerome Adams,https://twitter.com/JeromeAdamsMD,Center,12/13
Jerry Bowyer,,Right,199/283
Jerry Holbert (cartoonist),,Right,99/86
Jersey Shore Online,https://www.jerseyshoreonline.com/,Center,3/5
Jesse Lee Peterson,https://jesseleepeterson.com/,Right,14/12
Jessica Carpenter,https://www.linkedin.com/in/jessica-carpenter-990b3a148/,Center,32/25
Jessica Hardin,,Center,37/39
Jewish Insider,https://jewishinsider.com/,Center,31/45
Jezebel,https://jezebel.com/,Left,550/178
Jill Filipovic,https://jill.substack.com/,Left,20/17
Jill Lawrence,,Lean Left,46/37
Jim Geraghty,https://www.nationalreview.com/author/jim-geraghty/,Lean Right,101/99
Jim Morin (cartoonist),,Left,89/50
Jim Obergefell,,Lean Left,82/80
Jim Rutenberg,,Lean Left,102/92
Joan Blades,,Left,188/247
Joan Walsh,https://twitter.com/joanwalsh,Left,100/60
Joe Rogan,https://www.joerogan.com/,Center,248/194
Joe Scarborough,,Lean Right,402/1604
Joel Osteen,https://www.joelosteen.com/,Center,17/30
Joel Pett (cartoonist),,Left,97/96
JoeMyGod,https://www.joemygod.com/,Left,23/23
John Boehner,,Right,317/484
John Bolton,,Lean Right,56/82
John Deering (cartoonist),,Center,90/88
John Fund,http://spectator.org/bios/john-h-fund,Lean Right,195/211
"John Gable, AllSides Co-founder",https://www.linkedin.com/in/johnsgable/,Lean Right,338/402
John Gallagher,,Lean Left,19/18
John K. Herr,,Lean Right,93/74
John Lewis,,Lean Left,52/76
John Logan,https://cob.sfsu.edu/directory/john-logan,Lean Left,15/21
John Nichols,https://www.thenation.com/authors/john-nichols/?pageno=2,Left,16/14
John Podhoretz,https://nypost.com/author/john-podhoretz/,Right,53/51
John Pudner,,Right,122/136
John R. Wood Jr.,https://www.allsides.com/news-source/john-r-wood-jr-media-bias,Center,81/91
John Stossel,http://www.foxbusiness.com/person/s/john-stossel.html,Lean Right,1042/822
Johnathon Held,https://johnathonheld.com/,Lean Right,23/22
Johnny Harris,,Lean Left,231/125
Jon Lovett,https://www.allsides.com/news-source/jon-lovett-media-bias,Left,18/15
Jon Terbush,,Lean Left,154/207
Jonah Goldberg,,Right,165/279
Jonathan Bernstein,,Center,34/55
Jonathan Chait,,Left,207/193
Jonathan Haidt,,Center,146/100
Jonathan Miller,,Left,127/127
Jonathan Turley,,Lean Right,54/81
Jordan Weissmann,https://slate.com/author/jordan-weissmann,Left,60/57
Joseph Curl,https://www.dailywire.com/author/joseph-curl,Right,14/20
Joseph Ratliff,,Lean Left,94/127
Journal News,https://www.journal-news.com/,Center,6/9
Journalist's Resource,http://journalistsresource.org/,Center,357/397
Joyce Meyer,https://joycemeyer.org/,Center,12/15
Jreg (Youtuber),https://www.youtube.com/c/Jregory/about,Center,103/122
JRL Charts,https://www.jrlcharts.com,Left,18/12
JSTOR Daily,https://daily.jstor.org/,Center,123/99
Juan Williams,,Lean Left,681/664
Jubilee Media,https://www.jubileemedia.com/,Lean Left,427/516
Judicial Watch,http://www.judicialwatch.org,Lean Right,1458/1545
Judson Berger,,Lean Right,29/31
Judy Sheindlin,,Center,81/101
Julian Zelizer,,Lean Left,199/227
Julie Mastrine,,Lean Right,143/155
Just Facts,https://www.justfacts.com/,Center,208/255
Just Security,https://www.justsecurity.org/,Center,90/95
Just The News,https://justthenews.com/,Lean Right,444/931
K2 Radio,https://k2radio.com/category/wyoming-news/,Center,3/4
Kaiser Family Foundation,https://www.kff.org/,Center,56/75
KAKE,https://www.kake.com/,Center,14/17
KALW.org,https://www.kalw.org/,Center,67/73
Kane County Chronicle,https://www.shawlocal.com/kane-county-chronicle/,Center,11/11
Kansas Public Radio,https://kansaspublicradio.org/,Center,5/21
Kansas Reflector,https://kansasreflector.com/,Left,29/25
Kansas Reflector,https://kansasreflector.com/,Lean Left,7/11
KARE11,https://www.kare11.com/,Center,29/27
Karen E. Young,https://twitter.com/ProfessorKaren,Center,20/16
Karen Tumulty,https://www.washingtonpost.com/people/karen-tumulty/?itid=ai_top_tumultyke,Center,7/8
KARK,https://www.kark.com/,Center,18/16
KARK 4 News,https://www.kark.com/,Lean Left,8/10
Karl Rove,https://www.rove.com/,Lean Right,81/85
Kathleen Parker,,Lean Right,276/231
Katie Hill,https://twitter.com/KatieHill4CA,Lean Left,91/130
Katie Hyten,https://thefulcrum.us/u/katiehyten,Center,49/50
Katrina vanden Heuvel,,Left,44/34
KATU,,Center,152/184
KBND,https://kbnd.com/,Center,12/12
KBOI 2,https://idahonews.com/,Center,6/8
KBZK 7,https://www.kbzk.com/,Center,8/9
KCST,https://kcfmradio.com/,Center,5/6
Kearney Hub,https://kearneyhub.com/,Center,11/13
Keeping it Right,http://keepingitright.blogspot.com/,Right,14/12
Kelly Murphy,,Lean Left,43/56
Keloland,https://www.keloland.com/,Center,8/11
Ken Catalino (cartoonist),,Right,60/60
Kennebec Journal,https://www.centralmaine.com/,Center,13/14
Kenosha News,https://www.kenoshanews.com/,Center,59/100
KENS 5,https://www.kens5.com/,Center,6/9
Kent County Daily Times,https://www.ricentral.com/kent_county_daily_times/,Center,7/7
Kent Island Bay Times,https://www.myeasternshoremd.com/qa/bay_times/,Center,7/7
Kent Reporter,https://www.kentreporter.com/,Center,5/6
Kent Wired,https://kentwired.com/,Lean Left,6/6
Kentucky Gazette,https://kentuckygazette.com/,Center,7/8
Kentucky New Era,https://www.kentuckynewera.com/,Center,8/11
Kentucky Today,https://www.kentuckytoday.com/,Center,9/12
KESQ 3,https://kesq.com/,Center,9/7
KETR,https://www.ketr.org/,Center,3/4
Kevin D. Williamson,,Lean Right,46/42
Kevin Kallaugher (cartoonist),,Lean Left,78/69
Kevin McLaughlin,,Lean Right,31/32
KEYC,https://www.keyc.com/,Center,9/10
KEYT,https://keyt.com/,Center,6/10
KFDA 10,https://www.newschannel10.com/,Center,8/9
KFGO,https://kfgo.com/,Lean Left,10/16
KFOR 4,https://kfor.com/,Center,8/8
KFOX 14,https://kfoxtv.com/,Center,7/6
KFYR,https://www.kfyrtv.com/,Center,8/7
KGAB AM 650,https://kgab.com/category/local-news/,Center,4/4
KGAN CBS 2,https://cbs2iowa.com/,Center,8/13
KGNS,https://www.kgns.tv/,Center,7/9
KGUN,https://www.kgun9.com/,Center,8/10
KGW 8,https://www.kgw.com/,Center,8/16
KHON 2,https://www.khon2.com/,Center,8/12
KICD,https://kicdam.com/,Center,9/9
KIFI News 8,https://localnews8.com/,Center,6/9
Kilgore News Herald,https://www.kilgorenewsherald.com/,Center,24/23
Kimberley A. Strassel,,Right,274/186
KING 5 News,https://www.king5.com/,Center,8/14
Kingsport Times-News,https://www.timesnews.net/,Center,12/14
KIRO 7,https://www.kiro7.com/,Center,7/11
Kirsten Powers,,Lean Left,183/176
KITV 4,https://www.kitv.com/,Center,5/3
KIVI 6,https://www.kivitv.com/,Center,6/8
KJZZ Fronteras,https://fronterasdesk.org/,Center,9/10
KLAS 8,https://www.8newsnow.com/,Center,6/7
KLIN,https://klin.com/#/questions,Center,9/8
KMA Land,https://www.kmaland.com/,Center,8/9
KMOV 4,https://www.kmov.com/,Center,7/8
KMVT,https://www.kmvt.com/,Center,16/13
KNKX,https://www.knkx.org/,Center,9/13
Knoxville News Sentinel,https://www.knoxnews.com/,Center,16/22
KNSI Radio,https://knsiradio.com/,Center,17/19
KNWA,https://www.nwahomepage.com/,Center,11/12
KOAA News 5,https://www.koaa.com/,Center,10/9
KOAT Action 7 News,https://www.koat.com/local-news,Center,5/4
KOB 4,https://www.kob.com/new-mexico-news/,Center,6/4
KOCO 5,https://www.koco.com/,Center,5/3
KOIN 6,https://www.koin.com/,Center,13/15
KOLN,https://www.1011now.com/,Center,13/13
KOMO News,https://komonews.com/,Center,12/15
KOTA,https://www.kotatv.com/,Center,6/7
KPLC,https://www.kplctv.com/,Center,11/12
KQED,http://KQED.org,Center,643/577
KRDO,https://krdo.com/,Center,17/18
KREM,https://www.krem.com/,Center,8/9
KRGV 5,https://www.krgv.com/home/,Center,5/6
Kristin Hansen,,Lean Left,60/79
Kristin Shiuey,https://thefulcrum.us/Elections/Voting/north-carolina-primary,Center,19/27
KRQE 13 News,https://www.krqe.com/news/new-mexico/,Center,4/5
KRTV 3,https://www.krtv.com/,Center,6/9
Krystal Woodworth,https://www.linkedin.com/in/kryswoodworth/,Center,17/22
KSHB,https://www.kshb.com/,Center,9/10
KSL,http://www.ksl.com/,Center,1080/1059
KSLA,https://www.lafourchegazette.com/,Center,11/12
KSLA,https://www.ksla.com/,Center,13/14
KSMU,https://www.ksmu.org/,Lean Left,7/6
KSN TV,https://www.ksn.com/,Center,12/9
KSRO,https://www.ksro.com/,Center,9/8
KSTP,https://kstp.com/,Center,25/27
KTBS,https://www.ktbs.com/,Center,11/11
KTEN 10,https://www.kten.com/,Lean Right,7/6
KTLO,https://www.ktlo.com/,Center,12/11
KTNV 13 Las Vegas,https://www.ktnv.com/,Center,8/7
KTOO,https://www.ktoo.org/,Center,12/15
KTSA,https://www.ktsa.com/,Center,6/7
KTTC News,https://www.kttc.com/,Center,17/23
KTUL 8,https://ktul.com/,Center,7/8
KTVB 7,https://www.ktvb.com/local,Center,2/3
KTVE,https://www.myarklamiss.com/,Center,11/13
KTVF,https://www.webcenterfairbanks.com/,Center,3/5
KTVQ 2,https://www.ktvq.com/,Center,14/14
KTVZ 21,https://ktvz.com/,Center,8/9
KUNM,https://www.kunm.org/,Center,8/8
KUOW,https://kuow.org/,Center,10/12
KUTV,http://www.kutv.com/index.shtml,Center,356/377
KVOE,https://kvoe.com/,Center,7/10
KVRR,https://www.kvrr.com/,Center,25/20
KVRR News,https://www.kvrr.com/news/,Center,5/5
Kwame Raoul,,Lean Left,43/50
KWCH,http://kwch.com,Center,52/49
KWHI,https://kwhi.com/,Center,3/5
KWIT,https://www.kwit.org/,Lean Left,8/9
KWTX 10,https://www.kwtx.com/,Center,9/9
KX News,https://www.kxnet.com/,Center,6/7
KXII,https://www.kxii.com/,Center,9/9
Kyle Simpson,https://www.kseholdings.com/,Lean Left,5/5
Kyle Smith,https://www.nationalreview.com/author/kyle-smith/,Lean Right,76/68
La Crosse Tribune,https://lacrossetribune.com/,Center,16/18
LA Sentinel,https://lasentinel.net/,Left,17/14
Lake Highlands Advocate,https://lakehighlands.advocatemag.com/,Center,4/4
Lalo Alcaraz (cartoonist),,Left,73/57
Lancaster Online,https://lancasteronline.com/,Center,6/8
Lanhee Chen,http://www.bloombergview.com/contributors/lanhee-j-chen/articles,Right,115/143
Laramie Boomerang,,Center,41/35
